iter	Passed	Remaining
0	3	6157
1	5	5850
2	9	6086
3	11	5830
4	15	6013
5	17	5852
6	20	5938
7	24	5986
8	28	6214
9	30	6106
10	34	6208
11	36	6087
12	39	6112
13	42	6011
14	45	5993
15	47	5948
16	50	5872
17	52	5814
18	55	5809
19	58	5782
20	61	5804
21	63	5742
22	67	5807
23	69	5755
24	72	5698
25	74	5675
26	76	5622
27	79	5585
28	82	5604
29	86	5649
30	89	5676
31	92	5704
32	95	5693
33	98	5671
34	101	5678
35	103	5667
36	107	5714
37	111	5740
38	114	5751
39	117	5748
40	120	5746
41	122	5711
42	126	5749
43	128	5723
44	131	5703
45	133	5678
46	136	5652
47	138	5643
48	141	5620
49	144	5624
50	146	5607
51	149	5585
52	151	5568
53	153	5547
54	156	5527
55	158	5510
56	161	5488
57	163	5477
58	166	5463
59	168	5447
60	171	5447
61	174	5444
62	176	5426
63	178	5413
64	181	5395
65	183	5377
66	186	5375
67	188	5363
68	191	5355
69	194	5355
70	196	5342
71	199	5345
72	201	5332
73	204	5318
74	206	5303
75	209	5291
76	211	5293
77	214	5280
78	216	5269
79	219	5278
80	222	5268
81	224	5262
82	227	5261
83	230	5248
84	232	5239
85	234	5227
86	237	5227
87	239	5212
88	242	5200
89	244	5186
90	246	5175
91	248	5163
92	251	5149
93	253	5132
94	255	5127
95	257	5115
96	260	5108
97	262	5101
98	265	5097
99	268	5095
100	270	5085
101	272	5073
102	275	5068
103	277	5056
104	279	5048
105	282	5046
106	284	5038
107	287	5029
108	289	5024
109	292	5023
110	294	5019
111	298	5029
112	301	5035
113	304	5036
114	308	5059
115	311	5056
116	314	5054
117	316	5050
118	319	5051
119	321	5040
120	323	5030
121	326	5021
122	329	5033
123	332	5023
124	334	5015
125	336	5006
126	338	4998
127	341	4989
128	343	4982
129	345	4974
130	347	4964
131	350	4956
132	352	4948
133	354	4939
134	356	4930
135	359	4923
136	361	4915
137	363	4908
138	366	4901
139	368	4894
140	370	4885
141	372	4879
142	375	4871
143	377	4863
144	381	4879
145	383	4875
146	386	4869
147	389	4872
148	393	4882
149	395	4873
150	397	4867
151	399	4861
152	402	4854
153	404	4850
154	406	4844
155	409	4837
156	411	4832
